subject,base,trial,sex,style,modality,level,age_years,height_cm,mass_kg,bmi_kg_m2,practice_years,grade,dominant_guard,metric,value,window,family,joint,axis,stat,unit
ID009,KOK,1,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4135641795855239,pre_strike,com,,,,m
ID009,KOK,2,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4376063122516381,pre_strike,com,,,,m
ID009,KOK,3,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.456534105627436,pre_strike,com,,,,m
ID009,KOK,4,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4746599824413935,pre_strike,com,,,,m
ID009,KOK,5,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.5098836591891923,pre_strike,com,,,,m
ID009,KIB,1,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4421599560121704,pre_strike,com,,,,m
ID009,KIB,2,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4738278430280464,pre_strike,com,,,,m
ID009,KIB,3,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4907675531556505,pre_strike,com,,,,m
ID009,KIB,4,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.5416970611094323,pre_strike,com,,,,m
ID009,KIB,5,F,Shotokan,Kata,National,20,155.0,72.2,30.1,12,1 Dan,Left,pre_com_x_mean_m,0.4668809763798227,pre_strike,com,,,,m
ID010,ZEN,1,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.330406044334736,pre_strike,com,,,,m
ID010,ZEN,2,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.3722922816171313,pre_strike,com,,,,m
ID010,ZEN,3,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.3949555943978958,pre_strike,com,,,,m
ID010,ZEN,4,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.4034781536858587,pre_strike,com,,,,m
ID010,ZEN,5,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.383352440980244,pre_strike,com,,,,m
ID010,KOK,1,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.3597976678834393,pre_strike,com,,,,m
ID010,KOK,2,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.3638190977780139,pre_strike,com,,,,m
ID010,KOK,3,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.4194748704278904,pre_strike,com,,,,m
ID010,KOK,4,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.4313047678157112,pre_strike,com,,,,m
ID010,KOK,5,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.4093950759210665,pre_strike,com,,,,m
ID010,KIB,1,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.4873066926808044,pre_strike,com,,,,m
ID010,KIB,2,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.374584302649809,pre_strike,com,,,,m
ID010,KIB,3,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.3884897616055598,pre_strike,com,,,,m
ID010,KIB,4,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.420542451823901,pre_strike,com,,,,m
ID010,KIB,5,F,Shotokan,Kumite,International,20,161.5,70.7,27.3,15,1 Dan,Left,pre_com_x_mean_m,0.4198461858800676,pre_strike,com,,,,m
ID011,ZEN,1,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4151022006908467,pre_strike,com,,,,m
ID011,ZEN,2,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4127080959107908,pre_strike,com,,,,m
ID011,ZEN,3,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.3998819101080861,pre_strike,com,,,,m
ID011,ZEN,4,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4152139640541311,pre_strike,com,,,,m
ID011,ZEN,5,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4263397235694512,pre_strike,com,,,,m
ID011,KOK,1,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.5072335036992399,pre_strike,com,,,,m
ID011,KOK,2,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4631000988657411,pre_strike,com,,,,m
ID011,KOK,3,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4452772877298852,pre_strike,com,,,,m
ID011,KOK,4,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4323286926817137,pre_strike,com,,,,m
ID011,KOK,5,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.469440354489763,pre_strike,com,,,,m
ID011,KIB,1,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.5119537759309646,pre_strike,com,,,,m
ID011,KIB,2,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4916041867978718,pre_strike,com,,,,m
ID011,KIB,3,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4885048999585812,pre_strike,com,,,,m
ID011,KIB,4,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4981861340829536,pre_strike,com,,,,m
ID011,KIB,5,M,Shotokan,Kumite,International,21,184.5,84.8,25.0,16,1 Dan,Left,pre_com_x_mean_m,0.4623577479762442,pre_strike,com,,,,m
ID012,ZEN,1,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.409947079571006,pre_strike,com,,,,m
ID012,ZEN,2,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4103444595504666,pre_strike,com,,,,m
ID012,ZEN,3,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4564003832953644,pre_strike,com,,,,m
ID012,ZEN,4,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4664042363264229,pre_strike,com,,,,m
ID012,ZEN,5,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4269219771011229,pre_strike,com,,,,m
ID012,KOK,1,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.5118261979498621,pre_strike,com,,,,m
ID012,KOK,2,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4868921742924343,pre_strike,com,,,,m
ID012,KOK,3,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4811913451837719,pre_strike,com,,,,m
ID012,KOK,4,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.5197319137965928,pre_strike,com,,,,m
ID012,KOK,5,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4991280542010262,pre_strike,com,,,,m
ID012,KIB,1,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.5252265592817016,pre_strike,com,,,,m
ID012,KIB,2,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4241333123276637,pre_strike,com,,,,m
ID012,KIB,3,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.4470727955721558,pre_strike,com,,,,m
ID012,KIB,4,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.494154898379968,pre_strike,com,,,,m
ID012,KIB,5,F,Shotokan,Kata,National,32,161.0,90.6,35.0,25,3 Dan,Left,pre_com_x_mean_m,0.5203119707630945,pre_strike,com,,,,m
ID013,ZEN,1,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4054292330484597,pre_strike,com,,,,m
ID013,ZEN,2,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4124452930379216,pre_strike,com,,,,m
ID013,ZEN,3,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4017827472061959,pre_strike,com,,,,m
ID013,ZEN,4,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4092924600465489,pre_strike,com,,,,m
ID013,ZEN,5,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4091276659515728,pre_strike,com,,,,m
ID013,KOK,1,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4437385248947341,pre_strike,com,,,,m
ID013,KOK,2,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.430981187659039,pre_strike,com,,,,m
ID013,KOK,3,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4425169700862085,pre_strike,com,,,,m
ID013,KOK,4,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4462542764763474,pre_strike,com,,,,m
ID013,KOK,5,F,Shotokan,,,45,160.0,61.7,24.1,1,Branca,Left,pre_com_x_mean_m,0.4256875930854981,pre_strike,com,,,,m
