subject,base,trial,filtered,n_frames,rate_hz,duration_s,status,strike_peak_time_s,strike_peak_speed_mps,v3d_com_offset_mm
ID007,STATIC,1,True,360,180.0,1.9944444444444445,ok,,,
ID008,ZEN,1,True,1620,180.0,8.994444444444444,ok,3.8555555555555556,5.392799323446911,7.996464933898481
ID008,ZEN,2,True,1620,180.0,8.994444444444444,ok,3.577777777777778,5.5345581636165795,8.055543489307293
ID008,ZEN,3,True,1620,180.0,8.994444444444444,ok,3.922222222222222,5.592708744443458,8.327000963403203
ID008,ZEN,4,True,1620,180.0,8.994444444444444,ok,3.8444444444444446,5.538531938672917,8.690724607090136
ID008,ZEN,5,True,1620,180.0,8.994444444444444,ok,3.861111111111111,5.77460603358317,8.948145219465296
ID008,KOK,1,True,1620,180.0,8.994444444444444,ok,3.827777777777778,5.720106742171031,16.68253872295569
ID008,KOK,2,True,1620,180.0,8.994444444444444,ok,4.188888888888889,5.42963033995514,16.64402046356572
ID008,KOK,3,True,1620,180.0,8.994444444444444,ok,4.35,5.45786864112507,16.85444008211172
ID008,KOK,4,True,1620,180.0,8.994444444444444,ok,3.977777777777778,5.845397892083056,16.728063625472576
ID008,KOK,5,True,1620,180.0,8.994444444444444,ok,4.288888888888889,5.84919224828008,16.42330690324349
ID008,KIB,1,True,1620,180.0,8.994444444444444,ok,3.811111111111111,5.7415557644028015,9.689144619193357
ID008,KIB,2,True,1620,180.0,8.994444444444444,ok,4.038888888888889,5.530135274137036,9.549258430675591
ID008,KIB,3,True,1620,180.0,8.994444444444444,ok,3.7944444444444443,5.367225724909438,10.256716143353179
ID008,KIB,4,True,1620,180.0,8.994444444444444,ok,3.9166666666666665,5.29596504775632,9.211687018383818
ID008,KIB,5,True,1620,180.0,8.994444444444444,ok,3.9444444444444446,5.555580654455057,9.729922080145212
ID008,STATIC,1,True,360,180.0,1.9944444444444445,ok,,,
ID009,ZEN,1,True,1620,180.0,8.994444444444444,ok,4.283333333333333,6.126357245764178,6.268462077393038
ID009,ZEN,2,True,1620,180.0,8.994444444444444,ok,4.205555555555556,5.579763222525674,6.17771182294205
ID009,ZEN,3,True,1620,180.0,8.994444444444444,ok,4.011111111111111,5.745665640948954,5.479938857676792
ID009,ZEN,4,True,1620,180.0,8.994444444444444,ok,4.177777777777778,5.914614286984566,5.721999560827204
ID009,ZEN,5,True,1620,180.0,8.994444444444444,ok,4.061111111111111,5.501861352995294,5.652946978750281
ID009,KOK,1,True,1620,180.0,8.994444444444444,ok,4.122222222222222,5.609380238758758,11.979698083924433
ID009,KOK,2,True,1620,180.0,8.994444444444444,ok,3.727777777777778,5.584760046298768,12.92711421700405
ID009,KOK,3,True,1620,180.0,8.994444444444444,ok,4.066666666666666,5.404756561404081,12.777940331015257
ID009,KOK,4,True,1620,180.0,8.994444444444444,ok,3.9277777777777776,5.326572396241679,12.812671648612467
ID009,KOK,5,True,1620,180.0,8.994444444444444,ok,4.4222222222222225,5.923884356884889,13.161584470918275
ID009,KIB,1,True,1620,180.0,8.994444444444444,ok,4.094444444444444,5.305097861579729,11.109404635218954
ID009,KIB,2,True,1620,180.0,8.994444444444444,ok,4.222222222222222,5.016990570096058,11.18795542726235
ID009,KIB,3,True,1620,180.0,8.994444444444444,ok,4.155555555555556,4.963904575439376,11.108295925026548
ID009,KIB,4,True,1620,180.0,8.994444444444444,ok,4.188888888888889,4.987061384584719,10.035066045741134
